"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
681,"2018-08-01 00:00:07.3210","2018-08-01 00:11:28.9920",3162,"W 78 St & Broadway",40.78339981,-73.98093133,3383,"Cathedral Pkwy & Broadway",40.804213,-73.96699104,27770,"Subscriber",1986,1
625,"2018-08-01 00:00:19.7480","2018-08-01 00:10:45.0290",3260,"Mercer St & Bleecker St",40.72706363348306,-73.99662137031554,2012,"E 27 St & 1 Ave",40.739445,-73.976806,25938,"Subscriber",1969,1
1319,"2018-08-01 00:00:21.1750","2018-08-01 00:22:20.6370",403,"E 2 St & 2 Ave",40.72502876,-73.99069656,285,"Broadway & E 14 St",40.73454567,-73.99074142,28679,"Subscriber",1970,1
220,"2018-08-01 00:00:26.4700","2018-08-01 00:04:06.8190",3637,"Fulton St & Waverly Ave",40.683238654603414,-73.96599590778351,399,"Lafayette Ave & St James Pl",40.68851534,-73.9647628,28075,"Subscriber",1982,1
398,"2018-08-01 00:00:30.2910","2018-08-01 00:07:09.2810",3662,"31 Ave & Steinway St",40.761293897289086,-73.916916847229,3517,"31 St & Hoyt Ave N",40.7711528,-73.9170074,25002,"Subscriber",1987,1
2839,"2018-08-01 00:01:02.7170","2018-08-01 00:48:22.0820",468,"Broadway & W 56 St",40.7652654,-73.98192338,3495,"E 114 St & 1 Ave",40.7945663,-73.9362541,32418,"Customer",1969,0
172,"2018-08-01 00:01:03.5340","2018-08-01 00:03:55.8740",515,"W 43 St & 10 Ave",40.76009437,-73.99461843,529,"W 42 St & 8 Ave",40.7575699,-73.99098507,31108,"Subscriber",1975,1
1133,"2018-08-01 00:01:04.0240","2018-08-01 00:19:57.2430",265,"Stanton St & Chrystie St",40.72229346,-73.99147535,3641,"Broadway & W 25 St",40.74286877312112,-73.98918628692627,28715,"Subscriber",1997,1
1417,"2018-08-01 00:01:18.0950","2018-08-01 00:24:55.4450",472,"E 32 St & Park Ave",40.7457121,-73.98194829,351,"Front St & Maiden Ln",40.70530954,-74.00612572,26991,"Subscriber",1994,1
195,"2018-08-01 00:01:19.6090","2018-08-01 00:04:35.4160",3151,"E 81 St & York Ave",40.7728384,-73.94989233,3156,"E 72 St & York Ave",40.76663814,-73.95348296,24969,"Subscriber",1993,1
1093,"2018-08-01 00:01:21.5350","2018-08-01 00:19:35.3670",432,"E 7 St & Avenue A",40.72621788,-73.98379855,3070,"McKibbin St & Manhattan Ave",40.70510918,-73.94407279,29398,"Customer",1989,1
711,"2018-08-01 00:01:23.3260","2018-08-01 00:13:14.7430",328,"Watts St & Greenwich St",40.72405549,-74.00965965,361,"Allen St & Hester St",40.71605866,-73.99190759,29180,"Subscriber",1972,1
1061,"2018-08-01 00:01:31.7270","2018-08-01 00:19:13.1710",3506,"Lexington Ave & E 120 St",40.8013066,-73.9398167,3350,"W 100 St & Broadway",40.7973721,-73.97041192,33272,"Subscriber",1965,1
281,"2018-08-01 00:01:40.6620","2018-08-01 00:06:22.3410",465,"Broadway & W 41 St",40.75513557,-73.98658032,442,"W 27 St & 7 Ave",40.746647,-73.993915,14633,"Subscriber",1988,2
255,"2018-08-01 00:01:44.9010","2018-08-01 00:06:00.5040",3660,"W 16 St & 8 Ave",40.741021509002664,-74.001384973526,3255,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068,26097,"Subscriber",1985,1
810,"2018-08-01 00:01:47.9830","2018-08-01 00:15:18.3460",3142,"1 Ave & E 62 St",40.7612274,-73.96094022,507,"E 25 St & 2 Ave",40.73912601,-73.97973776,20193,"Subscriber",1990,2
804,"2018-08-01 00:01:56.2110","2018-08-01 00:15:20.4330",2010,"Grand St & Greene St",40.72165481,-74.00234737,285,"Broadway & E 14 St",40.73454567,-73.99074142,24918,"Subscriber",1990,1
