,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
January,6.99,6.79,8.21,7.03,7,5.92,5.71,5.71,6.15,6.22,5.76,5.05,5.03,4.76,3.92,3.41,4.43,3.67,3.87,4.15,4.03,4.46
February,7.04,6.81,8.33,7.05,6.89,5.84,5.64,5.63,6.25,6.29,5.92,5.13,4.99,4.95,3.89,3.53,4.3,3.71,3.66,4.17,4.33,4.37
March,7.13,7.04,8.24,6.95,7.01,5.75,5.45,5.93,6.32,6.16,5.97,5,4.97,4.84,3.95,3.57,4.34,3.77,3.69,4.2,4.44,
April,7.14,6.92,8.15,7.08,6.99,5.81,5.83,5.86,6.51,6.18,5.92,4.81,5.1,4.84,3.91,3.45,4.34,3.67,3.61,4.05,4.47,
May,7.14,7.15,8.52,7.15,6.81,5.48,6.27,5.72,6.6,6.26,6.04,4.86,4.89,4.64,3.8,3.54,4.19,3.84,3.6,4.01,4.59,
June,7,7.55,8.29,7.16,6.65,5.23,6.29,5.58,6.68,6.66,6.32,5.42,4.74,4.51,3.68,4.07,4.16,3.98,3.57,3.9,4.57,
July,6.95,7.63,8.15,7.13,6.49,5.63,6.06,5.7,6.76,6.7,6.43,5.22,4.56,4.55,3.55,4.37,4.13,4.05,3.44,3.97,4.53,
August,6.92,7.94,8.03,6.95,6.29,6.26,5.87,5.82,6.52,6.57,6.48,5.19,4.43,4.27,3.6,4.46,4.12,3.91,3.44,3.88,4.55,
September,6.72,7.82,7.91,6.82,6.09,6.15,5.75,5.77,6.4,6.38,6.04,5.06,4.35,4.11,3.5,4.49,4.16,3.89,3.46,3.81,4.63,
October,6.71,7.85,7.8,6.62,6.11,5.95,5.72,6.07,6.36,6.38,6.2,4.95,4.23,4.07,3.38,4.19,4.04,3.8,3.47, 3.90,4.83,
November,6.87,7.74,7.75,6.66,6.07,5.93,5.73,6.33,6.24,6.21,6.09,4.88,4.3,3.99,3.35,4.26,4,3.94,3.77,3.92,4.87,
December,6.74,7.91,7.38,7.07,6.05,5.88,5.75,6.27,6.14,6.1,5.29,4.93,4.71,3.96,3.35,4.46,3.86,3.96,4.2,3.95,4.64,
Annual Average,6.94,7.44,8.05,6.97,6.54,5.83,5.84,5.87,6.41,6.34,6.03,5.04,4.69,4.45,3.66,3.98,4.17,3.85,3.65,3.99, 4.54,
